STUDY	BIOENTITY	PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG
ColonImmune10XSS2VDJ	enrichment_protocol	method	FACs	http://www.ebi.ac.uk/efo/EFO_0009108
ColonImmune10XSS2VDJ	enrichment_protocol	method	FACS	http://www.ebi.ac.uk/efo/EFO_0009108
ColonImmune10XSS2VDJ	dissociation_protocol	method	Ficoll	http://www.ebi.ac.uk/efo/EFO_0009110
ColonImmune10XSS2VDJ	sequencing_protocol	method	full length single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008441
ColonImmune10XSS2VDJ	enrichment_protocol	method	Miltenyi MACS	http://www.ebi.ac.uk/efo/EFO_0009109
ColonImmune10XSS2VDJ	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
ColonImmune10XSS2VDJ	specimen_from_organism	organ	immune organ	http://purl.obolibrary.org/obo/UBERON_0005057
ColonImmune10XSS2VDJ	specimen_from_organism	organ	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059
ColonImmune10XSS2VDJ	specimen_from_organism	organ_parts	Caecum	http://purl.obolibrary.org/obo/UBERON_0001153
ColonImmune10XSS2VDJ	specimen_from_organism	organ_parts	Mesenteric lymph node	http://purl.obolibrary.org/obo/UBERON_0002509
ColonImmune10XSS2VDJ	specimen_from_organism	organ_parts	Sigmoid colon	http://purl.obolibrary.org/obo/UBERON_0001159
ColonImmune10XSS2VDJ	specimen_from_organism	organ_parts	Transverse colon	http://purl.obolibrary.org/obo/UBERON_0001157
ColonImmune10XSS2VDJ	donor_organism	organism_age_unit	year	http://purl.obolibrary.org/obo/UO_0000036
ColonImmune10XSS2VDJ	cell_suspension	selected_cell_types	cd45pos immune cell	http://purl.obolibrary.org/obo/CL_0000738
ColonImmune10XSS2VDJ	cell_suspension	selected_cell_types	cd4pos alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000789
ColonImmune10XSS2VDJ	cell_suspension	selected_cell_types	T cell	http://purl.obolibrary.org/obo/CL_0000084
ColonImmune10XSS2VDJ	donor_organism	weight_unit	kg	http://purl.obolibrary.org/obo/UO_0000009
DevelopingCardiacSystem	donor_organism	development_stage	Theiler Stage 24	http://www.ebi.ac.uk/efo/EFO_0002586
DevelopingCardiacSystem	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
DevelopingCardiacSystem	specimen_from_organism	genus_species	Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090
DevelopingCardiacSystem	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
DevelopingCardiacSystem	sequencing_protocol	instrument_manufacturer_model	Illumina HiSeq 4000	http://www.ebi.ac.uk/efo/EFO_0008563
DevelopingCardiacSystem	library_preparation_protocol	library_construction_method	10X v2 3' sequencing	http://www.ebi.ac.uk/efo/EFO_0009310
DevelopingCardiacSystem	library_preparation_protocol	library_construction_method	10X v2 sequencing	http://www.ebi.ac.uk/efo/EFO_0009310
DevelopingCardiacSystem	dissociation_protocol	method	enzymatic digestion	http://www.ebi.ac.uk/efo/EFO_0009128
DevelopingCardiacSystem	collection_protocol	method	microdissection	http://www.ebi.ac.uk/efo/EFO_0003856
DevelopingCardiacSystem	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
DevelopingCardiacSystem	specimen_from_organism	organ	Heart	http://purl.obolibrary.org/obo/UBERON_0000948
DevelopingCardiacSystem	specimen_from_organism	organ_parts	atrioventricular bundle	http://purl.obolibrary.org/obo/UBERON_0002353
DevelopingCardiacSystem	specimen_from_organism	organ_parts	atrioventricular node	http://purl.obolibrary.org/obo/UBERON_0002352
DevelopingCardiacSystem	specimen_from_organism	organ_parts	AVN/His region crux of heart	http://purl.obolibrary.org/obo/UBERON_0002352
DevelopingCardiacSystem	specimen_from_organism	organ_parts	BB/PF region luminal side of left ventricle	http://purl.obolibrary.org/obo/UBERON_0002084
DevelopingCardiacSystem	specimen_from_organism	organ_parts	BB/PF region luminal side of right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080
DevelopingCardiacSystem	specimen_from_organism	organ_parts	heart left ventricle	http://purl.obolibrary.org/obo/UBERON_0002084
DevelopingCardiacSystem	specimen_from_organism	organ_parts	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080
DevelopingCardiacSystem	specimen_from_organism	organ_parts	left branch of atrioventricular bundle	http://purl.obolibrary.org/obo/UBERON_0005986
DevelopingCardiacSystem	specimen_from_organism	organ_parts	right branch of atrioventricular bundle	http://purl.obolibrary.org/obo/UBERON_0005987
DevelopingCardiacSystem	specimen_from_organism	organ_parts	SAN region superior vena cava/right atrial junction	http://purl.obolibrary.org/obo/UBERON_0002351
DevelopingCardiacSystem	specimen_from_organism	organ_parts	sinoatrial node	http://purl.obolibrary.org/obo/UBERON_0002351
DevelopingCardiacSystem	specimen_from_organism	organism_age_unit	day	http://purl.obolibrary.org/obo/UO_0000033
DevelopingCardiacSystem	donor_organism	strain	CD1	http://www.ebi.ac.uk/efo/EFO_0005180
Diabetic Nephropathy snRNA-seq	donor_organism	development_stage	human adult stage	http://purl.obolibrary.org/obo/HsapDv_0000087
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	Acoustic neuroma	http://purl.obolibrary.org/obo/MONDO_0001569
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	adrenal mass	http://purl.obolibrary.org/obo/MONDO_0003924
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	AKI (5 months prior)	http://purl.obolibrary.org/obo/MONDO_0006637
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	anxiety	http://purl.obolibrary.org/obo/MONDO_0005618
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	arthritis	http://purl.obolibrary.org/obo/MONDO_0005578
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	benign prostatic hyperplasia	http://purl.obolibrary.org/obo/MONDO_0010811
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	depression	http://purl.obolibrary.org/obo/MONDO_0002050
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	diverticulitis	http://purl.obolibrary.org/obo/MONDO_0004235
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	dyslipidemia	http://purl.obolibrary.org/obo/MONDO_0015905
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	GERD	http://purl.obolibrary.org/obo/MONDO_0007186
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	hemochromatosis	http://purl.obolibrary.org/obo/MONDO_0006507
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	hiatal hernia	http://purl.obolibrary.org/obo/MONDO_0007721
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	hx VRE infection	http://purl.obolibrary.org/obo/MONDO_0005121
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	hyperlipidemia	http://purl.obolibrary.org/obo/MONDO_0021187
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	Hypertension	http://purl.obolibrary.org/obo/MONDO_0001134
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	IBS	http://purl.obolibrary.org/obo/MONDO_0005052
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	lyme disease	http://purl.obolibrary.org/obo/MONDO_0019632
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	NASH	http://purl.obolibrary.org/obo/MONDO_0013209
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	OSA	http://purl.obolibrary.org/obo/MONDO_0007147
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	PAF	http://purl.obolibrary.org/obo/MONDO_0018608
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	pleural effusion	http://purl.obolibrary.org/obo/HP:0002202
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	prostate cancer	http://purl.obolibrary.org/obo/MONDO_0008315
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	Renal mass	http://purl.obolibrary.org/obo/MONDO_0002367
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	right renal mass	http://purl.obolibrary.org/obo/MONDO_0002367
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	SVT	http://purl.obolibrary.org/obo/MONDO_0005477
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	type 2 diabetes	http://purl.obolibrary.org/obo/MONDO_0005148
Diabetic Nephropathy snRNA-seq	donor_organism	diseases	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148
Diabetic Nephropathy snRNA-seq	donor_organism	ethnicity	Hispanic or Latin American	http://purl.obolibrary.org/obo/HANCESTRO_0014
Diabetic Nephropathy snRNA-seq	donor_organism	ethnicity	Non-Hispanic White	http://purl.obolibrary.org/obo/HANCESTRO_0005
Diabetic Nephropathy snRNA-seq	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
Diabetic Nephropathy snRNA-seq	specimen_from_organism	genus_species	Homo Sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
Diabetic Nephropathy snRNA-seq	sequencing_protocol	instrument_manufacturer_model	Illumina HiSeq 2500	http://www.ebi.ac.uk/efo/EFO_0008565
Diabetic Nephropathy snRNA-seq	library_preparation_protocol	library_construction_method	10X 5' v2 sequencing	http://www.ebi.ac.uk/efo/EFO_0009900
Diabetic Nephropathy snRNA-seq	dissociation_protocol	method	enzymatic dissociation	http://www.ebi.ac.uk/efo/EFO_0009128
Diabetic Nephropathy snRNA-seq	collection_protocol	method	section	http://www.ebi.ac.uk/efo/EFO_0009744
Diabetic Nephropathy snRNA-seq	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
Diabetic Nephropathy snRNA-seq	specimen_from_organism	organ	kidney	http://purl.obolibrary.org/obo/UBERON_0002113
Diabetic Nephropathy snRNA-seq	cell_suspension	selected_cell_types	endothelial cells	http://purl.obolibrary.org/obo/CL_0000115
Diabetic Nephropathy snRNA-seq	cell_suspension	selected_cell_types	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
Diabetic Nephropathy snRNA-seq	cell_suspension	selected_cell_types	fibroblasts	http://purl.obolibrary.org/obo/CL_0000057
Diabetic Nephropathy snRNA-seq	cell_suspension	selected_cell_types	monocytes	http://purl.obolibrary.org/obo/CL_0000576
Diabetic Nephropathy snRNA-seq	cell_suspension	selected_cell_types	myofibroblasts	http://purl.obolibrary.org/obo/CL_0000186
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	cell_suspension	cell_size_unit	micrometer	http://purl.obolibrary.org/obo/UO_0000017
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	cell_line	cell_type	cardiomyocyte	http://purl.obolibrary.org/obo/CL_0000746
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	cell_line	cell_type	induced pluripotent stem cell	http://purl.obolibrary.org/obo/CL_0002248
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	cell_line	cell_type	lymphocyte of B lineage	http://purl.obolibrary.org/obo/CL_0000945
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	donor_organism	development_stage	adult	http://purl.obolibrary.org/obo/HsapDv_0000087
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	donor_organism	ethnicity	YORUBA	http://purl.obolibrary.org/obo/HANCESTRO_0575
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	sequencing_protocol	instrument_manufacturer_model	Illumina NextSeq 500	http://www.ebi.ac.uk/efo/EFO_0009173
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	library_preparation_protocol	library_construction_method	DroNc-seq	http://www.ebi.ac.uk/efo/EFO_0008720
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	library_preparation_protocol	library_construction_method	Drop-seq	http://www.ebi.ac.uk/efo/EFO_0008722
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	dissociation_protocol	method	mechanical dissociation	http://www.ebi.ac.uk/efo/EFO_0009129
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	cell_line	model_organ	blood	http://purl.obolibrary.org/obo/UBERON_0000178
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	cell_line	model_organ	heart	http://purl.obolibrary.org/obo/UBERON_0000948
Drop-seq, DroNc-seq, Fluidigm C1 Comparison	cell_line	model_organ	stem cell	http://purl.obolibrary.org/obo/CL_0000034
